Sl-No,Mole_frac_water,Temperature,Pressure,Activityt_water,Delta[Act]_comp0,Comp0,Comp1,Ref,IL_SMILES,Cation_SMILES,Anion_SMILES,MolecularFormula,C,H,N,O,S,P,F,Cl,Br,I
64,0.9058,293.17,100,0.937,0.002,water,1-butyl-1-methylpyrrolidinium dicyanamide,Havlov and Dohnal (2018),CCCC[N+]1(CCCC1)C.[N-](C#N)C#N,CCCC[N+]1(CCCC1)C,[N-](C#N)C#N,C11H20N4,11,20,4,0,0,0,0,0,0,0
65,0.9058,298.18,100,0.937,0.002,water,1-butyl-1-methylpyrrolidinium dicyanamide,Havlov and Dohnal (2018),CCCC[N+]1(CCCC1)C.[N-](C#N)C#N,CCCC[N+]1(CCCC1)C,[N-](C#N)C#N,C11H20N4,11,20,4,0,0,0,0,0,0,0
66,0.9058,303.14,100,0.9366,0.002,water,1-butyl-1-methylpyrrolidinium dicyanamide,Havlov and Dohnal (2018),CCCC[N+]1(CCCC1)C.[N-](C#N)C#N,CCCC[N+]1(CCCC1)C,[N-](C#N)C#N,C11H20N4,11,20,4,0,0,0,0,0,0,0
67,0.9058,308.12,100,0.9372,0.002,water,1-butyl-1-methylpyrrolidinium dicyanamide,Havlov and Dohnal (2018),CCCC[N+]1(CCCC1)C.[N-](C#N)C#N,CCCC[N+]1(CCCC1)C,[N-](C#N)C#N,C11H20N4,11,20,4,0,0,0,0,0,0,0
68,0.9058,313.09,100,0.9371,0.002,water,1-butyl-1-methylpyrrolidinium dicyanamide,Havlov and Dohnal (2018),CCCC[N+]1(CCCC1)C.[N-](C#N)C#N,CCCC[N+]1(CCCC1)C,[N-](C#N)C#N,C11H20N4,11,20,4,0,0,0,0,0,0,0
69,0.9058,318.1,100,0.9352,0.002,water,1-butyl-1-methylpyrrolidinium dicyanamide,Havlov and Dohnal (2018),CCCC[N+]1(CCCC1)C.[N-](C#N)C#N,CCCC[N+]1(CCCC1)C,[N-](C#N)C#N,C11H20N4,11,20,4,0,0,0,0,0,0,0
70,0.96,288.17,100,0.9729,0.002,water,1-butyl-1-methylpyrrolidinium dicyanamide,Havlov and Dohnal (2018),CCCC[N+]1(CCCC1)C.[N-](C#N)C#N,CCCC[N+]1(CCCC1)C,[N-](C#N)C#N,C11H20N4,11,20,4,0,0,0,0,0,0,0
71,0.96,293.18,100,0.9708,0.002,water,1-butyl-1-methylpyrrolidinium dicyanamide,Havlov and Dohnal (2018),CCCC[N+]1(CCCC1)C.[N-](C#N)C#N,CCCC[N+]1(CCCC1)C,[N-](C#N)C#N,C11H20N4,11,20,4,0,0,0,0,0,0,0
72,0.96,298.17,100,0.9718,0.002,water,1-butyl-1-methylpyrrolidinium dicyanamide,Havlov and Dohnal (2018),CCCC[N+]1(CCCC1)C.[N-](C#N)C#N,CCCC[N+]1(CCCC1)C,[N-](C#N)C#N,C11H20N4,11,20,4,0,0,0,0,0,0,0
73,0.96,303.14,100,0.9717,0.002,water,1-butyl-1-methylpyrrolidinium dicyanamide,Havlov and Dohnal (2018),CCCC[N+]1(CCCC1)C.[N-](C#N)C#N,CCCC[N+]1(CCCC1)C,[N-](C#N)C#N,C11H20N4,11,20,4,0,0,0,0,0,0,0
74,0.96,308.13,100,0.9722,0.002,water,1-butyl-1-methylpyrrolidinium dicyanamide,Havlov and Dohnal (2018),CCCC[N+]1(CCCC1)C.[N-](C#N)C#N,CCCC[N+]1(CCCC1)C,[N-](C#N)C#N,C11H20N4,11,20,4,0,0,0,0,0,0,0
75,0.96,313.1,100,0.9725,0.002,water,1-butyl-1-methylpyrrolidinium dicyanamide,Havlov and Dohnal (2018),CCCC[N+]1(CCCC1)C.[N-](C#N)C#N,CCCC[N+]1(CCCC1)C,[N-](C#N)C#N,C11H20N4,11,20,4,0,0,0,0,0,0,0
76,0.96,318.11,100,0.9717,0.002,water,1-butyl-1-methylpyrrolidinium dicyanamide,Havlov and Dohnal (2018),CCCC[N+]1(CCCC1)C.[N-](C#N)C#N,CCCC[N+]1(CCCC1)C,[N-](C#N)C#N,C11H20N4,11,20,4,0,0,0,0,0,0,0
77,0.1911,288.14,100,0.2311,0.002,water,"1-butyl-3-methylimidazolium 1,1,2,2-tetrafluoroethanesulfonate",Havlov and Dohnal (2018),CCCCN1C=C[N+](=C1)C.C(C(F)(F)S(=O)(=O)[O-])(F)F,CCCCN1C=C[N+](=C1)C,C(C(F)(F)S(=O)(=O)[O-])(F)F,C10H16F4N2O3S,10,16,2,3,1,0,4,0,0,0
78,0.1911,293.15,100,0.2254,0.002,water,"1-butyl-3-methylimidazolium 1,1,2,2-tetrafluoroethanesulfonate",Havlov and Dohnal (2018),CCCCN1C=C[N+](=C1)C.C(C(F)(F)S(=O)(=O)[O-])(F)F,CCCCN1C=C[N+](=C1)C,C(C(F)(F)S(=O)(=O)[O-])(F)F,C10H16F4N2O3S,10,16,2,3,1,0,4,0,0,0
79,0.1911,298.14,100,0.2186,0.002,water,"1-butyl-3-methylimidazolium 1,1,2,2-tetrafluoroethanesulfonate",Havlov and Dohnal (2018),CCCCN1C=C[N+](=C1)C.C(C(F)(F)S(=O)(=O)[O-])(F)F,CCCCN1C=C[N+](=C1)C,C(C(F)(F)S(=O)(=O)[O-])(F)F,C10H16F4N2O3S,10,16,2,3,1,0,4,0,0,0
80,0.1911,303.11,100,0.2124,0.002,water,"1-butyl-3-methylimidazolium 1,1,2,2-tetrafluoroethanesulfonate",Havlov and Dohnal (2018),CCCCN1C=C[N+](=C1)C.C(C(F)(F)S(=O)(=O)[O-])(F)F,CCCCN1C=C[N+](=C1)C,C(C(F)(F)S(=O)(=O)[O-])(F)F,C10H16F4N2O3S,10,16,2,3,1,0,4,0,0,0
81,0.1911,308.09,100,0.2064,0.002,water,"1-butyl-3-methylimidazolium 1,1,2,2-tetrafluoroethanesulfonate",Havlov and Dohnal (2018),CCCCN1C=C[N+](=C1)C.C(C(F)(F)S(=O)(=O)[O-])(F)F,CCCCN1C=C[N+](=C1)C,C(C(F)(F)S(=O)(=O)[O-])(F)F,C10H16F4N2O3S,10,16,2,3,1,0,4,0,0,0
82,0.1911,313.07,100,0.2005,0.002,water,"1-butyl-3-methylimidazolium 1,1,2,2-tetrafluoroethanesulfonate",Havlov and Dohnal (2018),CCCCN1C=C[N+](=C1)C.C(C(F)(F)S(=O)(=O)[O-])(F)F,CCCCN1C=C[N+](=C1)C,C(C(F)(F)S(=O)(=O)[O-])(F)F,C10H16F4N2O3S,10,16,2,3,1,0,4,0,0,0
83,0.1911,318.07,100,0.1963,0.002,water,"1-butyl-3-methylimidazolium 1,1,2,2-tetrafluoroethanesulfonate",Havlov and Dohnal (2018),CCCCN1C=C[N+](=C1)C.C(C(F)(F)S(=O)(=O)[O-])(F)F,CCCCN1C=C[N+](=C1)C,C(C(F)(F)S(=O)(=O)[O-])(F)F,C10H16F4N2O3S,10,16,2,3,1,0,4,0,0,0
84,0.3004,288.14,100,0.379,0.002,water,"1-butyl-3-methylimidazolium 1,1,2,2-tetrafluoroethanesulfonate",Havlov and Dohnal (2018),CCCCN1C=C[N+](=C1)C.C(C(F)(F)S(=O)(=O)[O-])(F)F,CCCCN1C=C[N+](=C1)C,C(C(F)(F)S(=O)(=O)[O-])(F)F,C10H16F4N2O3S,10,16,2,3,1,0,4,0,0,0
85,0.3004,293.15,100,0.3697,0.002,water,"1-butyl-3-methylimidazolium 1,1,2,2-tetrafluoroethanesulfonate",Havlov and Dohnal (2018),CCCCN1C=C[N+](=C1)C.C(C(F)(F)S(=O)(=O)[O-])(F)F,CCCCN1C=C[N+](=C1)C,C(C(F)(F)S(=O)(=O)[O-])(F)F,C10H16F4N2O3S,10,16,2,3,1,0,4,0,0,0
86,0.3004,298.16,100,0.3598,0.002,water,"1-butyl-3-methylimidazolium 1,1,2,2-tetrafluoroethanesulfonate",Havlov and Dohnal (2018),CCCCN1C=C[N+](=C1)C.C(C(F)(F)S(=O)(=O)[O-])(F)F,CCCCN1C=C[N+](=C1)C,C(C(F)(F)S(=O)(=O)[O-])(F)F,C10H16F4N2O3S,10,16,2,3,1,0,4,0,0,0
87,0.3004,303.13,100,0.3505,0.002,water,"1-butyl-3-methylimidazolium 1,1,2,2-tetrafluoroethanesulfonate",Havlov and Dohnal (2018),CCCCN1C=C[N+](=C1)C.C(C(F)(F)S(=O)(=O)[O-])(F)F,CCCCN1C=C[N+](=C1)C,C(C(F)(F)S(=O)(=O)[O-])(F)F,C10H16F4N2O3S,10,16,2,3,1,0,4,0,0,0
