IonicLiuid,Cation,Anion,T(K),IL_SMILES,ST(exp),CSMILES,ASMILES,MolecularFormula,C,H,N,O,S,P,F,Cl,Br,I
,,,337.84,CCN1C=C[N+](C)=C1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,34.06,CCN1C=C[N+](C)=C1,FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C8H11F6N3O4S2,8,11,3,4,2,0,6,0,0,0
,,,346.93,CCN1C=C[N+](C)=C1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,33.66,CCN1C=C[N+](C)=C1,FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C8H11F6N3O4S2,8,11,3,4,2,0,6,0,0,0
,,,351.54,CCN1C=C[N+](C)=C1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,33.42,CCN1C=C[N+](C)=C1,FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C8H11F6N3O4S2,8,11,3,4,2,0,6,0,0,0
[Emim][CF3SO3] trifluoromethanesulfonate,1-ethyl-3-dimethylimidazolium ([EMIM]+),trifluoromethanesulfonate [CF3SO3]-),298.2,CCN1C=C[N+](C)=C1.[O-]S(=O)(=O)C(F)(F)F,41.3,CCN1C=C[N+](C)=C1,[O-]S(=O)(=O)C(F)(F)F,C7H11F3N2O3S,7,11,2,3,1,0,3,0,0,0
,,,308.1,CCN1C=C[N+](C)=C1.[O-]S(=O)(=O)C(F)(F)F,41,CCN1C=C[N+](C)=C1,[O-]S(=O)(=O)C(F)(F)F,C7H11F3N2O3S,7,11,2,3,1,0,3,0,0,0
,,,318.1,CCN1C=C[N+](C)=C1.[O-]S(=O)(=O)C(F)(F)F,40.5,CCN1C=C[N+](C)=C1,[O-]S(=O)(=O)C(F)(F)F,C7H11F3N2O3S,7,11,2,3,1,0,3,0,0,0
,,,328.4,CCN1C=C[N+](C)=C1.[O-]S(=O)(=O)C(F)(F)F,39.9,CCN1C=C[N+](C)=C1,[O-]S(=O)(=O)C(F)(F)F,C7H11F3N2O3S,7,11,2,3,1,0,3,0,0,0
,,,338.3,CCN1C=C[N+](C)=C1.[O-]S(=O)(=O)C(F)(F)F,39.5,CCN1C=C[N+](C)=C1,[O-]S(=O)(=O)C(F)(F)F,C7H11F3N2O3S,7,11,2,3,1,0,3,0,0,0
,,,344.9,CCN1C=C[N+](C)=C1.[O-]S(=O)(=O)C(F)(F)F,39.3,CCN1C=C[N+](C)=C1,[O-]S(=O)(=O)C(F)(F)F,C7H11F3N2O3S,7,11,2,3,1,0,3,0,0,0
[Emim][EtSO4],1-ethyl-3-dimethylimidazolium ([EMIM]+),ethylsulfate ([EtSO4]-),278.15,CCN1C=C[N+](C)=C1.CCOS([O-])(=O)=O,50.42,CCN1C=C[N+](C)=C1,CCOS([O-])(=O)=O,C8H16N2O4S,8,16,2,4,1,0,0,0,0,0
,,,288.15,CCN1C=C[N+](C)=C1.CCOS([O-])(=O)=O,49.48,CCN1C=C[N+](C)=C1,CCOS([O-])(=O)=O,C8H16N2O4S,8,16,2,4,1,0,0,0,0,0
,,,298.15,CCN1C=C[N+](C)=C1.CCOS([O-])(=O)=O,48.79,CCN1C=C[N+](C)=C1,CCOS([O-])(=O)=O,C8H16N2O4S,8,16,2,4,1,0,0,0,0,0
,,,308.15,CCN1C=C[N+](C)=C1.CCOS([O-])(=O)=O,47.95,CCN1C=C[N+](C)=C1,CCOS([O-])(=O)=O,C8H16N2O4S,8,16,2,4,1,0,0,0,0,0
,,,318.15,CCN1C=C[N+](C)=C1.CCOS([O-])(=O)=O,47.44,CCN1C=C[N+](C)=C1,CCOS([O-])(=O)=O,C8H16N2O4S,8,16,2,4,1,0,0,0,0,0
,,,328.15,CCN1C=C[N+](C)=C1.CCOS([O-])(=O)=O,47.01,CCN1C=C[N+](C)=C1,CCOS([O-])(=O)=O,C8H16N2O4S,8,16,2,4,1,0,0,0,0,0
[Emim][MeSO3],1-ethyl-3-dimethylimidazolium ([EMIM]+),methanesulfonate ([MeSO3]-),273.31,CCN1C=C[N+](C)=C1.CS([O-])(=O)=O,52.81,CCN1C=C[N+](C)=C1,CS([O-])(=O)=O,C7H14N2O3S,7,14,2,3,1,0,0,0,0,0
,,,283.18,CCN1C=C[N+](C)=C1.CS([O-])(=O)=O,51.56,CCN1C=C[N+](C)=C1,CS([O-])(=O)=O,C7H14N2O3S,7,14,2,3,1,0,0,0,0,0
,,,293.15,CCN1C=C[N+](C)=C1.CS([O-])(=O)=O,50.72,CCN1C=C[N+](C)=C1,CS([O-])(=O)=O,C7H14N2O3S,7,14,2,3,1,0,0,0,0,0
,,,303.54,CCN1C=C[N+](C)=C1.CS([O-])(=O)=O,49.54,CCN1C=C[N+](C)=C1,CS([O-])(=O)=O,C7H14N2O3S,7,14,2,3,1,0,0,0,0,0
,,,313.72,CCN1C=C[N+](C)=C1.CS([O-])(=O)=O,48.26,CCN1C=C[N+](C)=C1,CS([O-])(=O)=O,C7H14N2O3S,7,14,2,3,1,0,0,0,0,0
,,,323.17,CCN1C=C[N+](C)=C1.CS([O-])(=O)=O,47.41,CCN1C=C[N+](C)=C1,CS([O-])(=O)=O,C7H14N2O3S,7,14,2,3,1,0,0,0,0,0
,,,333.15,CCN1C=C[N+](C)=C1.CS([O-])(=O)=O,46.35,CCN1C=C[N+](C)=C1,CS([O-])(=O)=O,C7H14N2O3S,7,14,2,3,1,0,0,0,0,0
[Emim]methylphosphonate,1-ethyl-3-dimethylimidazolium ([EMIM]+),methylphosphonate ([MePO3]-),273.33,CCN1C=C[N+](C)=C1.CP(O)([O-])=O,47.52,CCN1C=C[N+](C)=C1,CP(O)([O-])=O,C7H15N2O3P,7,15,2,3,0,1,0,0,0,0
,,,283.13,CCN1C=C[N+](C)=C1.CP(O)([O-])=O,46.45,CCN1C=C[N+](C)=C1,CP(O)([O-])=O,C7H15N2O3P,7,15,2,3,0,1,0,0,0,0
,,,293.15,CCN1C=C[N+](C)=C1.CP(O)([O-])=O,45.49,CCN1C=C[N+](C)=C1,CP(O)([O-])=O,C7H15N2O3P,7,15,2,3,0,1,0,0,0,0
,,,303.52,CCN1C=C[N+](C)=C1.CP(O)([O-])=O,44.22,CCN1C=C[N+](C)=C1,CP(O)([O-])=O,C7H15N2O3P,7,15,2,3,0,1,0,0,0,0
,,,313.46,CCN1C=C[N+](C)=C1.CP(O)([O-])=O,43.26,CCN1C=C[N+](C)=C1,CP(O)([O-])=O,C7H15N2O3P,7,15,2,3,0,1,0,0,0,0
,,,323.3,CCN1C=C[N+](C)=C1.CP(O)([O-])=O,42.41,CCN1C=C[N+](C)=C1,CP(O)([O-])=O,C7H15N2O3P,7,15,2,3,0,1,0,0,0,0
,,,333.51,CCN1C=C[N+](C)=C1.CP(O)([O-])=O,41.56,CCN1C=C[N+](C)=C1,CP(O)([O-])=O,C7H15N2O3P,7,15,2,3,0,1,0,0,0,0
[Emim]octylsulfate,1-ethyl-3-dimethylimidazolium ([EMIM]+),octylsulfate ([OctSO4]-),273.35,CCN1C=C[N+](C)=C1.CCCCCCCCOS([O-])(=O)=O,32.53,CCN1C=C[N+](C)=C1,CCCCCCCCOS([O-])(=O)=O,C14H28N2O4S,14,28,2,4,1,0,0,0,0,0
,,,283.54,CCN1C=C[N+](C)=C1.CCCCCCCCOS([O-])(=O)=O,31.57,CCN1C=C[N+](C)=C1,CCCCCCCCOS([O-])(=O)=O,C14H28N2O4S,14,28,2,4,1,0,0,0,0,0
,,,293.15,CCN1C=C[N+](C)=C1.CCCCCCCCOS([O-])(=O)=O,30.82,CCN1C=C[N+](C)=C1,CCCCCCCCOS([O-])(=O)=O,C14H28N2O4S,14,28,2,4,1,0,0,0,0,0
,,,303.24,CCN1C=C[N+](C)=C1.CCCCCCCCOS([O-])(=O)=O,29.95,CCN1C=C[N+](C)=C1,CCCCCCCCOS([O-])(=O)=O,C14H28N2O4S,14,28,2,4,1,0,0,0,0,0
,,,313.13,CCN1C=C[N+](C)=C1.CCCCCCCCOS([O-])(=O)=O,29.23,CCN1C=C[N+](C)=C1,CCCCCCCCOS([O-])(=O)=O,C14H28N2O4S,14,28,2,4,1,0,0,0,0,0
,,,323.3,CCN1C=C[N+](C)=C1.CCCCCCCCOS([O-])(=O)=O,28.7,CCN1C=C[N+](C)=C1,CCCCCCCCOS([O-])(=O)=O,C14H28N2O4S,14,28,2,4,1,0,0,0,0,0
,,,333.11,CCN1C=C[N+](C)=C1.CCCCCCCCOS([O-])(=O)=O,28.06,CCN1C=C[N+](C)=C1,CCCCCCCCOS([O-])(=O)=O,C14H28N2O4S,14,28,2,4,1,0,0,0,0,0
[EMIM][DEP],1-ethyl-3-dimethylimidazolium ([EMIM]+),diethylphosphate ([DEP]-),293.15,CCN1C=C[N+](C)=C1.CCOP([O-])(=O)OCC,36.1,CCN1C=C[N+](C)=C1,CCOP([O-])(=O)OCC,C10H21N2O4P,10,21,2,4,0,1,0,0,0,0
,,,298.15,CCN1C=C[N+](C)=C1.CCOP([O-])(=O)OCC,35.88,CCN1C=C[N+](C)=C1,CCOP([O-])(=O)OCC,C10H21N2O4P,10,21,2,4,0,1,0,0,0,0
,,,308.15,CCN1C=C[N+](C)=C1.CCOP([O-])(=O)OCC,35.3,CCN1C=C[N+](C)=C1,CCOP([O-])(=O)OCC,C10H21N2O4P,10,21,2,4,0,1,0,0,0,0
,,,318.15,CCN1C=C[N+](C)=C1.CCOP([O-])(=O)OCC,34.61,CCN1C=C[N+](C)=C1,CCOP([O-])(=O)OCC,C10H21N2O4P,10,21,2,4,0,1,0,0,0,0
,,,328.15,CCN1C=C[N+](C)=C1.CCOP([O-])(=O)OCC,34.21,CCN1C=C[N+](C)=C1,CCOP([O-])(=O)OCC,C10H21N2O4P,10,21,2,4,0,1,0,0,0,0
,,,338.15,CCN1C=C[N+](C)=C1.CCOP([O-])(=O)OCC,33.75,CCN1C=C[N+](C)=C1,CCOP([O-])(=O)OCC,C10H21N2O4P,10,21,2,4,0,1,0,0,0,0
[Emim][DMP]dimethylphosphate,1-ethyl-3-dimethylimidazolium ([EMIM]+),dimethylphosphate ([DMP]-),308.2,CCN1C=C[N+](C)=C1.COP([O-])(=O)OC,45.3,CCN1C=C[N+](C)=C1,COP([O-])(=O)OC,C8H17N2O4P,8,17,2,4,0,1,0,0,0,0
,,,318,CCN1C=C[N+](C)=C1.COP([O-])(=O)OC,44.7,CCN1C=C[N+](C)=C1,COP([O-])(=O)OC,C8H17N2O4P,8,17,2,4,0,1,0,0,0,0
,,,328.7,CCN1C=C[N+](C)=C1.COP([O-])(=O)OC,44.4,CCN1C=C[N+](C)=C1,COP([O-])(=O)OC,C8H17N2O4P,8,17,2,4,0,1,0,0,0,0
,,,338.6,CCN1C=C[N+](C)=C1.COP([O-])(=O)OC,43.8,CCN1C=C[N+](C)=C1,COP([O-])(=O)OC,C8H17N2O4P,8,17,2,4,0,1,0,0,0,0
,,,343.5,CCN1C=C[N+](C)=C1.COP([O-])(=O)OC,43.3,CCN1C=C[N+](C)=C1,COP([O-])(=O)OC,C8H17N2O4P,8,17,2,4,0,1,0,0,0,0
[Emim]Tosylate,1-ethyl-3-dimethylimidazolium ([EMIM]+),tosylate ([Tos]-),308.1,CCN1C=C[N+](C)=C1.CC1CCC(CC1)S([O-])(=O)=O,45.2,CCN1C=C[N+](C)=C1,CC1CCC(CC1)S([O-])(=O)=O,C13H24N2O3S,13,24,2,3,1,0,0,0,0,0
,,,318,CCN1C=C[N+](C)=C1.CC1CCC(CC1)S([O-])(=O)=O,44.2,CCN1C=C[N+](C)=C1,CC1CCC(CC1)S([O-])(=O)=O,C13H24N2O3S,13,24,2,3,1,0,0,0,0,0
,,,328.5,CCN1C=C[N+](C)=C1.CC1CCC(CC1)S([O-])(=O)=O,43.6,CCN1C=C[N+](C)=C1,CC1CCC(CC1)S([O-])(=O)=O,C13H24N2O3S,13,24,2,3,1,0,0,0,0,0
,,,338.3,CCN1C=C[N+](C)=C1.CC1CCC(CC1)S([O-])(=O)=O,43,CCN1C=C[N+](C)=C1,CC1CCC(CC1)S([O-])(=O)=O,C13H24N2O3S,13,24,2,3,1,0,0,0,0,0
,,,343.2,CCN1C=C[N+](C)=C1.CC1CCC(CC1)S([O-])(=O)=O,42.7,CCN1C=C[N+](C)=C1,CC1CCC(CC1)S([O-])(=O)=O,C13H24N2O3S,13,24,2,3,1,0,0,0,0,0
[Emim][Ala],1-ethyl-3-dimethylimidazolium ([EMIM]+),alaninate ([Ala]-),293.15,CCN1C=C[N+](C)=C1.CC(N)C([O-])=O,53.1,CCN1C=C[N+](C)=C1,CC(N)C([O-])=O,C9H17N3O2,9,17,3,2,0,0,0,0,0,0
,,,298.15,CCN1C=C[N+](C)=C1.CC(N)C([O-])=O,52.7,CCN1C=C[N+](C)=C1,CC(N)C([O-])=O,C9H17N3O2,9,17,3,2,0,0,0,0,0,0
,,,308.15,CCN1C=C[N+](C)=C1.CC(N)C([O-])=O,51.8,CCN1C=C[N+](C)=C1,CC(N)C([O-])=O,C9H17N3O2,9,17,3,2,0,0,0,0,0,0
,,,318.15,CCN1C=C[N+](C)=C1.CC(N)C([O-])=O,51.1,CCN1C=C[N+](C)=C1,CC(N)C([O-])=O,C9H17N3O2,9,17,3,2,0,0,0,0,0,0
,,,328.15,CCN1C=C[N+](C)=C1.CC(N)C([O-])=O,50.3,CCN1C=C[N+](C)=C1,CC(N)C([O-])=O,C9H17N3O2,9,17,3,2,0,0,0,0,0,0
,,,338.15,CCN1C=C[N+](C)=C1.CC(N)C([O-])=O,49.9,CCN1C=C[N+](C)=C1,CC(N)C([O-])=O,C9H17N3O2,9,17,3,2,0,0,0,0,0,0
,,,343.15,CCN1C=C[N+](C)=C1.CC(N)C([O-])=O,49.6,CCN1C=C[N+](C)=C1,CC(N)C([O-])=O,C9H17N3O2,9,17,3,2,0,0,0,0,0,0
[Emim][Thr] threonine,1-ethyl-3-dimethylimidazolium ([EMIM]+),threonine ([Thr]-),288.15,CCN1C=C[N+](C)=C1.CC(O)C(N)C([O-])=O,55.5,CCN1C=C[N+](C)=C1,CC(O)C(N)C([O-])=O,C10H19N3O3,10,19,3,3,0,0,0,0,0,0
,,,293.15,CCN1C=C[N+](C)=C1.CC(O)C(N)C([O-])=O,55.2,CCN1C=C[N+](C)=C1,CC(O)C(N)C([O-])=O,C10H19N3O3,10,19,3,3,0,0,0,0,0,0
,,,298.15,CCN1C=C[N+](C)=C1.CC(O)C(N)C([O-])=O,54.8,CCN1C=C[N+](C)=C1,CC(O)C(N)C([O-])=O,C10H19N3O3,10,19,3,3,0,0,0,0,0,0
,,,303.15,CCN1C=C[N+](C)=C1.CC(O)C(N)C([O-])=O,54.5,CCN1C=C[N+](C)=C1,CC(O)C(N)C([O-])=O,C10H19N3O3,10,19,3,3,0,0,0,0,0,0
,,,308.15,CCN1C=C[N+](C)=C1.CC(O)C(N)C([O-])=O,54.2,CCN1C=C[N+](C)=C1,CC(O)C(N)C([O-])=O,C10H19N3O3,10,19,3,3,0,0,0,0,0,0
,,,313.15,CCN1C=C[N+](C)=C1.CC(O)C(N)C([O-])=O,53.7,CCN1C=C[N+](C)=C1,CC(O)C(N)C([O-])=O,C10H19N3O3,10,19,3,3,0,0,0,0,0,0
,,,318.15,CCN1C=C[N+](C)=C1.CC(O)C(N)C([O-])=O,53.4,CCN1C=C[N+](C)=C1,CC(O)C(N)C([O-])=O,C10H19N3O3,10,19,3,3,0,0,0,0,0,0
,,,323.15,CCN1C=C[N+](C)=C1.CC(O)C(N)C([O-])=O,53.1,CCN1C=C[N+](C)=C1,CC(O)C(N)C([O-])=O,C10H19N3O3,10,19,3,3,0,0,0,0,0,0
,,,328.15,CCN1C=C[N+](C)=C1.CC(O)C(N)C([O-])=O,52.7,CCN1C=C[N+](C)=C1,CC(O)C(N)C([O-])=O,C10H19N3O3,10,19,3,3,0,0,0,0,0,0
[Emim][Val] valinate,1-ethyl-3-dimethylimidazolium ([EMIM]+),valinate ([Val]-),298.15,CCN1C=C[N+](C)=C1.CC(C)C(N)C([O-])=O,39.1,CCN1C=C[N+](C)=C1,CC(C)C(N)C([O-])=O,C11H21N3O2,11,21,3,2,0,0,0,0,0,0
,,,303.15,CCN1C=C[N+](C)=C1.CC(C)C(N)C([O-])=O,38.8,CCN1C=C[N+](C)=C1,CC(C)C(N)C([O-])=O,C11H21N3O2,11,21,3,2,0,0,0,0,0,0
,,,308.15,CCN1C=C[N+](C)=C1.CC(C)C(N)C([O-])=O,38.5,CCN1C=C[N+](C)=C1,CC(C)C(N)C([O-])=O,C11H21N3O2,11,21,3,2,0,0,0,0,0,0
,,,313.15,CCN1C=C[N+](C)=C1.CC(C)C(N)C([O-])=O,38.1,CCN1C=C[N+](C)=C1,CC(C)C(N)C([O-])=O,C11H21N3O2,11,21,3,2,0,0,0,0,0,0
,,,318.15,CCN1C=C[N+](C)=C1.CC(C)C(N)C([O-])=O,37.8,CCN1C=C[N+](C)=C1,CC(C)C(N)C([O-])=O,C11H21N3O2,11,21,3,2,0,0,0,0,0,0
,,,328.15,CCN1C=C[N+](C)=C1.CC(C)C(N)C([O-])=O,37.2,CCN1C=C[N+](C)=C1,CC(C)C(N)C([O-])=O,C11H21N3O2,11,21,3,2,0,0,0,0,0,0
,,,333.15,CCN1C=C[N+](C)=C1.CC(C)C(N)C([O-])=O,36.8,CCN1C=C[N+](C)=C1,CC(C)C(N)C([O-])=O,C11H21N3O2,11,21,3,2,0,0,0,0,0,0
,,,338.15,CCN1C=C[N+](C)=C1.CC(C)C(N)C([O-])=O,36.5,CCN1C=C[N+](C)=C1,CC(C)C(N)C([O-])=O,C11H21N3O2,11,21,3,2,0,0,0,0,0,0
[Emim][Gly],1-ethyl-3-dimethylimidazolium ([EMIM]+),glycinate ([Gly]-),298.15,CCN1C=C[N+](C)=C1.NCC([O-])=O,49.2,CCN1C=C[N+](C)=C1,NCC([O-])=O,C8H15N3O2,8,15,3,2,0,0,0,0,0,0
[Emim][Glu],1-ethyl-3-dimethylimidazolium ([EMIM]+),glutamate ([Glu]-),298.15,CCN1C=C[N+](C)=C1.NC(CCC(O)=O)C([O-])=O,67.6,CCN1C=C[N+](C)=C1,NC(CCC(O)=O)C([O-])=O,C11H19N3O4,11,19,3,4,0,0,0,0,0,0
[Emim][Ace],1-ethyl-3-dimethylimidazolium ([EMIM]+),acetate ([Ace]-),298.15,CCN1C=C[N+](C)=C1.CC([O-])=O,38.1,CCN1C=C[N+](C)=C1,CC([O-])=O,C8H14N2O2,8,14,2,2,0,0,0,0,0,0
,,,303.15,CCN1C=C[N+](C)=C1.CC([O-])=O,37.8,CCN1C=C[N+](C)=C1,CC([O-])=O,C8H14N2O2,8,14,2,2,0,0,0,0,0,0
,,,308.15,CCN1C=C[N+](C)=C1.CC([O-])=O,37.5,CCN1C=C[N+](C)=C1,CC([O-])=O,C8H14N2O2,8,14,2,2,0,0,0,0,0,0
,,,313.15,CCN1C=C[N+](C)=C1.CC([O-])=O,37.1,CCN1C=C[N+](C)=C1,CC([O-])=O,C8H14N2O2,8,14,2,2,0,0,0,0,0,0
,,,318.15,CCN1C=C[N+](C)=C1.CC([O-])=O,36.6,CCN1C=C[N+](C)=C1,CC([O-])=O,C8H14N2O2,8,14,2,2,0,0,0,0,0,0
,,,323.15,CCN1C=C[N+](C)=C1.CC([O-])=O,36.3,CCN1C=C[N+](C)=C1,CC([O-])=O,C8H14N2O2,8,14,2,2,0,0,0,0,0,0
,,,328.15,CCN1C=C[N+](C)=C1.CC([O-])=O,35.9,CCN1C=C[N+](C)=C1,CC([O-])=O,C8H14N2O2,8,14,2,2,0,0,0,0,0,0
,,,333.15,CCN1C=C[N+](C)=C1.CC([O-])=O,35.5,CCN1C=C[N+](C)=C1,CC([O-])=O,C8H14N2O2,8,14,2,2,0,0,0,0,0,0
,,,338.15,CCN1C=C[N+](C)=C1.CC([O-])=O,35.2,CCN1C=C[N+](C)=C1,CC([O-])=O,C8H14N2O2,8,14,2,2,0,0,0,0,0,0
[Emim][Prop],1-ethyl-3-dimethylimidazolium ([EMIM]+),propionate ([Prop]-),298.15,CCN1C=C[N+](C)=C1.CCC([O-])=O,39.6,CCN1C=C[N+](C)=C1,CCC([O-])=O,C9H16N2O2,9,16,2,2,0,0,0,0,0,0
[Emim][Lac],1-ethyl-3-dimethylimidazolium ([EMIM]+),lactate ([Lac]-),283.15,CCN1C=C[N+](C)=C1.CC(O)C([O-])=O,53.37,CCN1C=C[N+](C)=C1,CC(O)C([O-])=O,C9H16N2O3,9,16,2,3,0,0,0,0,0,0
,,,293.15,CCN1C=C[N+](C)=C1.CC(O)C([O-])=O,52.9,CCN1C=C[N+](C)=C1,CC(O)C([O-])=O,C9H16N2O3,9,16,2,3,0,0,0,0,0,0
,,,298.15,CCN1C=C[N+](C)=C1.CC(O)C([O-])=O,52.38,CCN1C=C[N+](C)=C1,CC(O)C([O-])=O,C9H16N2O3,9,16,2,3,0,0,0,0,0,0
,,,303.15,CCN1C=C[N+](C)=C1.CC(O)C([O-])=O,51.49,CCN1C=C[N+](C)=C1,CC(O)C([O-])=O,C9H16N2O3,9,16,2,3,0,0,0,0,0,0
,,,308.15,CCN1C=C[N+](C)=C1.CC(O)C([O-])=O,51.05,CCN1C=C[N+](C)=C1,CC(O)C([O-])=O,C9H16N2O3,9,16,2,3,0,0,0,0,0,0
,,,313.15,CCN1C=C[N+](C)=C1.CC(O)C([O-])=O,50.6,CCN1C=C[N+](C)=C1,CC(O)C([O-])=O,C9H16N2O3,9,16,2,3,0,0,0,0,0,0
,,,318.15,CCN1C=C[N+](C)=C1.CC(O)C([O-])=O,49.98,CCN1C=C[N+](C)=C1,CC(O)C([O-])=O,C9H16N2O3,9,16,2,3,0,0,0,0,0,0
,,,323.15,CCN1C=C[N+](C)=C1.CC(O)C([O-])=O,49.72,CCN1C=C[N+](C)=C1,CC(O)C([O-])=O,C9H16N2O3,9,16,2,3,0,0,0,0,0,0
